noProject Description,Cleaned,response
"The AI Healthcare Bot System is a Python-based chatbot designed to assist patients by providing instant medical guidance and emergency support. Patients can interact with the chatbot to ask health-related questions, receive precautionary advice, and find nearby doctors, clinics, or hospitals. The chatbot leverages AI to analyze queries and generate accurate responses.

The system includes:

A Patient Module where users can register, provide medical history, and interact with the chatbot.
A Chatbot Module that processes patient queries and provides AI-generated responses.
A Query Management System to store and analyze previous questions and responses.
A Medical Facility Directory that helps patients locate doctors, hospitals, and clinics based on their current location.
A Doctor Database where verified doctors are listed with their specializations and availability.","the ai healthcare bot system is a pythonbased chatbot designed to assist patients by providing instant medical guidance and emergency support patients can interact with the chatbot to ask healthrelated questions receive precautionary advice and find nearby doctors clinics or hospitals the chatbot leverages ai to analyze queries and generate accurate responses

the system includes

a patient module where users can register provide medical history and interact with the chatbot
a chatbot module that processes patient queries and provides aigenerated responses
a query management system to store and analyze previous questions and responses
a medical facility directory that helps patients locate doctors hospitals and clinics based on their current location
a doctor database where verified doctors are listed with their specializations and availability","{
  ""entities"": [
    {
      ""name"": ""Patient"",
      ""attributes"": [""name"", ""age"", ""gender"", ""medical_history"", ""location""]
    },
    {
      ""name"": ""Chatbot"",
      ""attributes"": [""bot_id"", ""version"", ""language_model""]
    },
    {
      ""name"": ""Query"",
      ""attributes"": [""query_text"", ""response_text"", ""timestamp""]
    },
    {
      ""name"": ""MedicalFacility"",
      ""attributes"": [""name"", ""type"", ""location"", ""contact_info""]
    },
    {
      ""name"": ""Doctor"",
      ""attributes"": [""name"", ""specialization"", ""availability"", ""verified_status""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Patient"",
      ""to"": ""Query"",
      ""label"": ""Submits""
    },
    {
      ""from"": ""Chatbot"",
      ""to"": ""Query"",
      ""label"": ""Processes""
    },
    {
      ""from"": ""Patient"",
      ""to"": ""Chatbot"",
      ""label"": ""InteractsWith""
    },
    {
      ""from"": ""Patient"",
      ""to"": ""MedicalFacility"",
      ""label"": ""Finds""
    },
    {
      ""from"": ""Doctor"",
      ""to"": ""MedicalFacility"",
      ""label"": ""WorksAt""
    }
  ]
}
"
"It might be challenging for readers to get their hands on the books they want to read. The problem relies on their ability to get hold of the book, either because it is unavailable, expensive, or has a limited number of prints available. There are times when other people have these books, but for a variety of reasonsÃ¢ÂÂsuch as the fact that they have already finished reading or are no longer interested in readingÃ¢ÂÂthese books are of no use to them. Thus, we aim to solve the problem of book readers by sharing a model that can help these people share the desired books with the readers efficiently.

ShareBook App is an android project that is designed to solve the book-sharing problem of students or the common public in general. It provides a platform for any user, who has a book that is not needed anymore and would like to share it with another user that may have the need for it. The user can either purchase the book they need or sell the book that they donÃ¢ÂÂt need anymore.

In this android system, the admin g in to view the list of users using the app. The admins are able to block and unblock any user they want. They can also view the list of the books added by the users for auction.

The user here can register first to log in to their account. They can view their profile after they log in. They can also change the password whenever they want. If the user is interested in buying a book, they can search for the name or description of the book added by the other users. They can add or remove any book from the cart. After buying a particular book, the user can check out the list, details and status of the book they have purchased. The user can hold an online auction if they wish to sell a specific collection of unique and authentic books or comics that are not widely available or only come in a limited number of prints.

They can add, update, view and delete any book they want. The other users interested can bid on the auctioned book. The user can view the bid list and the winner of the auction as well. Similarly, the user can bid on auctions put up by others as well.","it might be challenging for readers to get their hands on the books they want to read the problem relies on their ability to get hold of the book either because it is unavailable expensive or has a limited number of prints available there are times when other people have these books but for a variety of reasonssuch as the fact that they have already finished reading or are no longer interested in readingthese books are of no use to them thus we aim to solve the problem of book readers by sharing a model that can help these people share the desired books with the readers efficiently

sharebook app is an android project that is designed to solve the booksharing problem of students or the common public in general it provides a platform for any user who has a book that is not needed anymore and would like to share it with another user that may have the need for it the user can either purchase the book they need or sell the book that they dont need anymore

in this android system the admin g in to view the list of users using the app the admins are able to block and unblock any user they want they can also view the list of the books added by the users for auction

the user here can register first to log in to their account they can view their profile after they log in they can also change the password whenever they want if the user is interested in buying a book they can search for the name or description of the book added by the other users they can add or remove any book from the cart after buying a particular book the user can check out the list details and status of the book they have purchased the user can hold an online auction if they wish to sell a specific collection of unique and authentic books or comics that are not widely available or only come in a limited number of prints

they can add update view and delete any book they want the other users interested can bid on the auctioned book the user can view the bid list and the winner of the auction as well similarly the user can bid on auctions put up by others as well","{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [""user_id"", ""name"", ""email"", ""password"", ""is_blocked""]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [""admin_id"", ""username"", ""password""]
    },
    {
      ""name"": ""Book"",
      ""attributes"": [""book_id"", ""title"", ""author"", ""description"", ""price"", ""status"", ""is_auctioned""]
    },
    {
      ""name"": ""Cart"",
      ""attributes"": [""cart_id""]
    },
    {
      ""name"": ""Auction"",
      ""attributes"": [""auction_id"", ""start_date"", ""end_date"", ""book_id""]
    },
    {
      ""name"": ""Bid"",
      ""attributes"": [""bid_id"", ""amount"", ""timestamp""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Admin"",
      ""to"": ""User"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""User"",
      ""to"": ""Book"",
      ""label"": ""Owns""
    },
    {
      ""from"": ""User"",
      ""to"": ""Cart"",
      ""label"": ""Has""
    },
    {
      ""from"": ""Cart"",
      ""to"": ""Book"",
      ""label"": ""Contains""
    },
    {
      ""from"": ""User"",
      ""to"": ""Auction"",
      ""label"": ""Creates""
    },
    {
      ""from"": ""Auction"",
      ""to"": ""Book"",
      ""label"": ""Auctions""
    },
    {
      ""from"": ""User"",
      ""to"": ""Bid"",
      ""label"": ""Places""
    },
    {
      ""from"": ""Bid"",
      ""to"": ""Auction"",
      ""label"": ""BelongsTo""
    }
  ]
}
"
"This Python-based system helps travel enthusiasts connect with different travel groups. Users can register, log in, search for groups by name or type, and join public or private groups. Private groups require approval from the owner, who can accept, reject, or block users. Members can chat within groups and create new groups with customizable privacy settings.",this pythonbased system helps travel enthusiasts connect with different travel groups users can register log in search for groups by name or type and join public or private groups private groups require approval from the owner who can accept reject or block users members can chat within groups and create new groups with customizable privacy settings,"{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [""user_id"", ""name"", ""email"", ""password"", ""status""]
    },
    {
      ""name"": ""Group"",
      ""attributes"": [""group_id"", ""name"", ""type"", ""privacy"", ""description""]
    },
    {
      ""name"": ""Membership"",
      ""attributes"": [""membership_id"", ""status"", ""joined_at""]
    },
    {
      ""name"": ""ChatMessage"",
      ""attributes"": [""message_id"", ""content"", ""timestamp""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""Group"",
      ""label"": ""Creates""
    },
    {
      ""from"": ""User"",
      ""to"": ""Membership"",
      ""label"": ""Requests""
    },
    {
      ""from"": ""Membership"",
      ""to"": ""Group"",
      ""label"": ""BelongsTo""
    },
    {
      ""from"": ""User"",
      ""to"": ""ChatMessage"",
      ""label"": ""Sends""
    },
    {
      ""from"": ""ChatMessage"",
      ""to"": ""Group"",
      ""label"": ""PostedIn""
    }
  ]
}
"
"The Travel and Tourism Website is a Python-Django-based system designed to help users plan travel itineraries, compare flight and hotel prices, and make bookings efficiently. The system consists of two main entities: User and Admin.

Users can browse available travel packages, search for flights and hotels, make bookings, and interact with a chatbot for assistance.
Admins manage system data, including users, bookings, flights, and hotels.
Key attributes to be identified for the ER diagram include User details (name, email, contact info, booking history), Admin details (credentials, management privileges), Hotel details (name, location, pricing), Flight details (airline, departure, arrival, cost), Booking details (user ID, hotel/flight ID, status, payment info), and Chatbot interactions.

The ER diagram will represent the relationships between these entities, ensuring a structured database design for efficient data management.","the travel and tourism website is a pythondjangobased system designed to help users plan travel itineraries compare flight and hotel prices and make bookings efficiently the system consists of two main entities user and admin

users can browse available travel packages search for flights and hotels make bookings and interact with a chatbot for assistance
admins manage system data including users bookings flights and hotels
key attributes to be identified for the er diagram include user details name email contact info booking history admin details credentials management privileges hotel details name location pricing flight details airline departure arrival cost booking details user id hotelflight id status payment info and chatbot interactions

the er diagram will represent the relationships between these entities ensuring a structured database design for efficient data management","{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [""user_id"", ""name"", ""email"", ""contact_info""]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [""admin_id"", ""username"", ""password"", ""privileges""]
    },
    {
      ""name"": ""Hotel"",
      ""attributes"": [""hotel_id"", ""name"", ""location"", ""price_per_night""]
    },
    {
      ""name"": ""Flight"",
      ""attributes"": [""flight_id"", ""airline"", ""departure"", ""arrival"", ""cost""]
    },
    {
      ""name"": ""Booking"",
      ""attributes"": [""booking_id"", ""status"", ""payment_info"", ""booking_date""]
    },
    {
      ""name"": ""ChatbotInteraction"",
      ""attributes"": [""interaction_id"", ""user_query"", ""bot_response"", ""timestamp""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Admin"",
      ""to"": ""User"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Hotel"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Flight"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""User"",
      ""to"": ""Booking"",
      ""label"": ""Makes""
    },
    {
      ""from"": ""Booking"",
      ""to"": ""Hotel"",
      ""label"": ""IncludesHotel""
    },
    {
      ""from"": ""Booking"",
      ""to"": ""Flight"",
      ""label"": ""IncludesFlight""
    },
    {
      ""from"": ""User"",
      ""to"": ""ChatbotInteraction"",
      ""label"": ""Initiates""
    }
  ]
}
"
"With increased responsibility, it has become difficult for people to keep track of the number and quantity of groceries available. Thus, a poor grocery management system leads to the problem of not having enough groceries when required. In this fast world, remembering the groceries in the kitchen is really a tough job for people who are involved in jobs away from home. A smart grocery management system is in demand to keep track of the availability of grocery items in the kitchens at home.

We have designed an Android Grocery Management App to tackle the above-mentioned problem. Our project will help to keep track of the grocery available. It can be applied anywhere where an efficient management system is required, like homes, stores, restaurants, etc. To enhance the user experience, we have also added a recipe feature which will help the user to make interesting and delicious food items with the available grocery in the inventory.

The system comprises 1 module: User.
The user would require to register first to log in. After registering successfully, the user can log in using their credentials. If the user forgets their password, the system will send the existing password to their email. The user will have the access to add, update and view items in their inventory.

The system will even suggest recipes to the user based on the items available in their inventory. The system will show the recipes by searching 60% of ingredients that matches the items in the inventory. In the recipe ingredients, the system will also show how much quantity is required and how much quantity of ingredients is available.

The user can view the list of all the recipes included by them as well as the others. While adding ingredients to the recipe, they can either choose from the items already available in the inventory or add a new one. They can also edit and delete any recipes they have added.

The user can scan the barcode of any item, if that item is available in the inventory, they can update it or else the system will ask them to add it to the list. In the Shopping list, the user can manage the items they want to shop for in their inventory.","with increased responsibility it has become difficult for people to keep track of the number and quantity of groceries available thus a poor grocery management system leads to the problem of not having enough groceries when required in this fast world remembering the groceries in the kitchen is really a tough job for people who are involved in jobs away from home a smart grocery management system is in demand to keep track of the availability of grocery items in the kitchens at home

we have designed an android grocery management app to tackle the abovementioned problem our project will help to keep track of the grocery available it can be applied anywhere where an efficient management system is required like homes stores restaurants etc to enhance the user experience we have also added a recipe feature which will help the user to make interesting and delicious food items with the available grocery in the inventory

the system comprises 1 module user
the user would require to register first to log in after registering successfully the user can log in using their credentials if the user forgets their password the system will send the existing password to their email the user will have the access to add update and view items in their inventory

the system will even suggest recipes to the user based on the items available in their inventory the system will show the recipes by searching 60 of ingredients that matches the items in the inventory in the recipe ingredients the system will also show how much quantity is required and how much quantity of ingredients is available

the user can view the list of all the recipes included by them as well as the others while adding ingredients to the recipe they can either choose from the items already available in the inventory or add a new one they can also edit and delete any recipes they have added

the user can scan the barcode of any item if that item is available in the inventory they can update it or else the system will ask them to add it to the list in the shopping list the user can manage the items they want to shop for in their inventory","{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [""user_id"", ""name"", ""email"", ""password""]
    },
    {
      ""name"": ""InventoryItem"",
      ""attributes"": [""item_id"", ""name"", ""quantity"", ""unit"", ""barcode""]
    },
    {
      ""name"": ""Recipe"",
      ""attributes"": [""recipe_id"", ""title"", ""description""]
    },
    {
      ""name"": ""Ingredient"",
      ""attributes"": [""ingredient_id"", ""name"", ""required_quantity"", ""unit""]
    },
    {
      ""name"": ""ShoppingListItem"",
      ""attributes"": [""item_id"", ""name"", ""desired_quantity"", ""unit""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""InventoryItem"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""User"",
      ""to"": ""Recipe"",
      ""label"": ""Creates""
    },
    {
      ""from"": ""Recipe"",
      ""to"": ""Ingredient"",
      ""label"": ""Includes""
    },
    {
      ""from"": ""User"",
      ""to"": ""ShoppingListItem"",
      ""label"": ""AddsToShoppingList""
    },
    {
      ""from"": ""Ingredient"",
      ""to"": ""InventoryItem"",
      ""label"": ""MatchesWith""
    }
  ]
}
"
"The system enables users to define virtual boundaries using GPS or RFID. When a user enters or exits a predefined area, the system triggers notifications and applies restrictions, such as disabling device features. The application continuously tracks user locations, allowing them to modify geofences as needed. Users receive alerts based on their location and the defined geofence rules. The system ensures compliance with location-based policies by monitoring device status and movements.",the system enables users to define virtual boundaries using gps or rfid when a user enters or exits a predefined area the system triggers notifications and applies restrictions such as disabling device features the application continuously tracks user locations allowing them to modify geofences as needed users receive alerts based on their location and the defined geofence rules the system ensures compliance with locationbased policies by monitoring device status and movements,"{'entities': [{'name': 'User', 'attributes': ['id', 'name']}, {'name': 'Location', 'attributes': ['latitude', 'longitude', 'gps']}, {'name': 'Device', 'attributes': ['id', 'status']}, {'name': 'Geofence', 'attributes': ['name', 'coordinates']}], 'relationships': [{'from': 'User', 'to': 'Location', 'label': 'TRACKS'}, {'from': 'User', 'to': 'Geofence', 'label': 'DEFINES'}, {'from': 'User', 'to': 'Device', 'label': 'USES'}, {'from': 'Device', 'to': 'Location', 'label': 'TRACKS_STATUS'}]}"
"The system manages and streamlines the placement process in educational institutions by automating data handling and reducing manual effort. It consists of three modules: Students, Placement Department/Admin, and College Management.

Students register with personal and academic details, log in, update profiles, apply for recruitments, track application status, and manage off-campus job applications.
Placement Admins manage recruitment listings, filter students by criteria, update statuses, upload offer letters, and analyze placement statistics.
College Management oversees recruitments, student data, and statistical reports, tracking placement trends through graphical representations.
The system improves efficiency, reduces errors, and provides a structured approach to managing placements.","the system manages and streamlines the placement process in educational institutions by automating data handling and reducing manual effort it consists of three modules students placement departmentadmin and college management

students register with personal and academic details log in update profiles apply for recruitments track application status and manage offcampus job applications
placement admins manage recruitment listings filter students by criteria update statuses upload offer letters and analyze placement statistics
college management oversees recruitments student data and statistical reports tracking placement trends through graphical representations
the system improves efficiency reduces errors and provides a structured approach to managing placements","{
  ""entities"": [
    {
      ""name"": ""Student"",
      ""attributes"": [""student_id"", ""name"", ""email"", ""contact"", ""academic_details"", ""resume"", ""status""]
    },
    {
      ""name"": ""PlacementAdmin"",
      ""attributes"": [""admin_id"", ""name"", ""email"", ""designation""]
    },
    {
      ""name"": ""CollegeManagement"",
      ""attributes"": [""management_id"", ""name"", ""role"", ""email""]
    },
    {
      ""name"": ""Recruitment"",
      ""attributes"": [""recruitment_id"", ""company_name"", ""role"", ""eligibility_criteria"", ""deadline"", ""status""]
    },
    {
      ""name"": ""Application"",
      ""attributes"": [""application_id"", ""student_id"", ""recruitment_id"", ""application_status"", ""offer_letter""]
    },
    {
      ""name"": ""Report"",
      ""attributes"": [""report_id"", ""title"", ""generated_date"", ""content""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Student"",
      ""to"": ""Application"",
      ""label"": ""AppliesFor""
    },
    {
      ""from"": ""Application"",
      ""to"": ""Recruitment"",
      ""label"": ""Targets""
    },
    {
      ""from"": ""PlacementAdmin"",
      ""to"": ""Recruitment"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""PlacementAdmin"",
      ""to"": ""Application"",
      ""label"": ""Reviews""
    },
    {
      ""from"": ""CollegeManagement"",
      ""to"": ""Report"",
      ""label"": ""Generates""
    },
    {
      ""from"": ""CollegeManagement"",
      ""to"": ""Student"",
      ""label"": ""Oversees""
    },
    {
      ""from"": ""CollegeManagement"",
      ""to"": ""Recruitment"",
      ""label"": ""Oversees""
    }
  ]
}
"
"The system is a Python-based Word Scrabble project designed to generate meaningful and non-meaningful words based on user input.

User: Registers, logs in, and inputs words (up to 12 letters) for word generation.
Word Processing Function: Breaks words into possible letter combinations, categorizing them as meaningful or non-meaningful.","the system is a pythonbased word scrabble project designed to generate meaningful and nonmeaningful words based on user input

user registers logs in and inputs words up to 12 letters for word generation
word processing function breaks words into possible letter combinations categorizing them as meaningful or nonmeaningful","{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [""user_id"", ""username"", ""email"", ""password""]
    },
    {
      ""name"": ""InputWord"",
      ""attributes"": [""input_id"", ""user_id"", ""word"", ""input_date""]
    },
    {
      ""name"": ""GeneratedWord"",
      ""attributes"": [""word_id"", ""input_id"", ""word"", ""is_meaningful""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""InputWord"",
      ""label"": ""Submits""
    },
    {
      ""from"": ""InputWord"",
      ""to"": ""GeneratedWord"",
      ""label"": ""Generates""
    }
  ]
}
"
"Given the drawbacks of traditional English pronunciation correction systems, such as failure to provide timely feedback and correct learnersÃ¢ÂÂ pronunciation errors, slow improvement of learnersÃ¢ÂÂ English proficiency, and even misleading learners, it is critical to developing a scientific and efficient automatic correction system for English pronunciation errors.

Our Automatic Pronunciation Mistake Detection project is an efficient automatic correction system for English pronunciation errors. It is designed to enable students/user to improve their pronunciation skills. By using Speech recognition, pyaudio and pyttsx3, the project aims to efficiently diminish the error rate and enhance the accuracy of error detection.

This python-based project consists of 2 major modules, including User and Admin. The user would require to register first by filling in their name, age, gender, standard and username & password of their choice. The user would then need to log in to use the site.

For pronunciation detection, tser would need to select the word they want to pronounce and record it. The pronunciation mistake will be recognized by comparing the word entered and the conversion of the recorded word to text. If it doesnÃ¢ÂÂt match it will give a pop-up as wrong pronunciation. The user can view the words pronounced and can hear the correct pronunciation of the word they had pronounced wrong, by clicking on the audio file. The admin has the access to view the usersÃ¢ÂÂ details and their pronunciation mistakes. They can also add, update, delete and view wo","given the drawbacks of traditional english pronunciation correction systems such as failure to provide timely feedback and correct learners pronunciation errors slow improvement of learners english proficiency and even misleading learners it is critical to developing a scientific and efficient automatic correction system for english pronunciation errors

our automatic pronunciation mistake detection project is an efficient automatic correction system for english pronunciation errors it is designed to enable studentsuser to improve their pronunciation skills by using speech recognition pyaudio and pyttsx3 the project aims to efficiently diminish the error rate and enhance the accuracy of error detection

this pythonbased project consists of 2 major modules including user and admin the user would require to register first by filling in their name age gender standard and username  password of their choice the user would then need to log in to use the site

for pronunciation detection tser would need to select the word they want to pronounce and record it the pronunciation mistake will be recognized by comparing the word entered and the conversion of the recorded word to text if it doesnt match it will give a popup as wrong pronunciation the user can view the words pronounced and can hear the correct pronunciation of the word they had pronounced wrong by clicking on the audio file the admin has the access to view the users details and their pronunciation mistakes they can also add update delete and view wo","{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [""user_id"", ""name"", ""age"", ""gender"", ""standard"", ""username"", ""password""]
    },
    {
      ""name"": ""PronunciationRecord"",
      ""attributes"": [""record_id"", ""user_id"", ""word"", ""pronunciation_audio"", ""is_correct"", ""timestamp""]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [""admin_id"", ""username"", ""password""]
    },
    {
      ""name"": ""Word"",
      ""attributes"": [""word_id"", ""word"", ""correct_pronunciation_audio""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""PronunciationRecord"",
      ""label"": ""Records""
    },
    {
      ""from"": ""PronunciationRecord"",
      ""to"": ""Word"",
      ""label"": ""Pronounces""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""User"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""PronunciationRecord"",
      ""label"": ""Views""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Word"",
      ""label"": ""Manages""
    }
  ]
}
"
"Our project, Medical Report Management & Distribution System on Blockchain, is designed to secure medical reports and provide a safe way of accessing the clinical data of patients for their caretakers and doctors using cryptography and decentralization.

The proposed system also maintains the balance between data accessibility and security. The proposed framework helps doctors, patients and caretakers to securely store and access patientsÃ¢ÂÂ medical data in EHR.

This Python-based project is designed to maintain and distribute patientsÃ¢ÂÂ medical records efficiently and effectively. It consists of 3 modules: Hospital, Pharmacy and Pathology Lab.

Hospital administrators can manage all the data related to Pharmacies, Pathology labs and Patients. Pharmacy can add and view patientsÃ¢ÂÂ bills. The Pathology Lab add and view patientsÃ¢ÂÂ reports in this","our project medical report management  distribution system on blockchain is designed to secure medical reports and provide a safe way of accessing the clinical data of patients for their caretakers and doctors using cryptography and decentralization

the proposed system also maintains the balance between data accessibility and security the proposed framework helps doctors patients and caretakers to securely store and access patients medical data in ehr

this pythonbased project is designed to maintain and distribute patients medical records efficiently and effectively it consists of 3 modules hospital pharmacy and pathology lab

hospital administrators can manage all the data related to pharmacies pathology labs and patients pharmacy can add and view patients bills the pathology lab add and view patients reports in this","{
  ""entities"": [
    {
      ""name"": ""Hospital"",
      ""attributes"": [""hospital_id"", ""name"", ""location"", ""admin_id""]
    },
    {
      ""name"": ""Pharmacy"",
      ""attributes"": [""pharmacy_id"", ""name"", ""location"", ""hospital_id""]
    },
    {
      ""name"": ""PathologyLab"",
      ""attributes"": [""lab_id"", ""name"", ""location"", ""hospital_id""]
    },
    {
      ""name"": ""Patient"",
      ""attributes"": [""patient_id"", ""name"", ""dob"", ""gender"", ""contact_info"", ""medical_history""]
    },
    {
      ""name"": ""Bill"",
      ""attributes"": [""bill_id"", ""patient_id"", ""amount"", ""date"", ""pharmacy_id""]
    },
    {
      ""name"": ""Report"",
      ""attributes"": [""report_id"", ""patient_id"", ""date"", ""lab_id"", ""report_details""]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [""admin_id"", ""username"", ""password"", ""hospital_id""]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Hospital"",
      ""to"": ""Pharmacy"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Hospital"",
      ""to"": ""PathologyLab"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Hospital"",
      ""to"": ""Patient"",
      ""label"": ""Registers""
    },
    {
      ""from"": ""Pharmacy"",
      ""to"": ""Bill"",
      ""label"": ""Generates""
    },
    {
      ""from"": ""PathologyLab"",
      ""to"": ""Report"",
      ""label"": ""Generates""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Hospital"",
      ""label"": ""Oversees""
    }
  ]
}
"
